symbol,price,score,regime,direction,atr,entry_ok,timestamp,liquidity_ok,volume_spike,price_momentum,trend_strength,filter_score,volume_multiple,momentum_3d_pct,ema_gap_pct,timeframe_aligned,alignment_ratio,momentum_confluence,momentum_ratio,is_premium_symbol,high_quality_signal,stop_loss,take_profit,position_size,risk_reward,stop_loss_percent
SBUX,84.545,0,False,False,0.359801,False,2025-09-22 15:45,True,False,False,False,0,0.26,1.59,-2.69,False,0.33,True,0.67,False,False,83.83,85.98,277,2.0,0.85
BKNG,5426.04,0,True,False,16.900254,False,2025-09-22 15:30,False,False,False,True,1,0.35,-2.3,7.48,False,0.33,False,0.0,False,False,5392.24,5493.64,5,2.0,0.62
ROST,144.735,0,True,False,0.414681,False,2025-09-22 15:45,True,False,False,False,0,0.16,-1.31,2.53,False,0.33,False,0.0,False,False,143.91,146.39,241,2.0,0.57
TJX,139.12,0,True,True,0.26456,False,2025-09-22 15:45,True,False,False,True,1,0.19,-0.66,6.92,False,0.67,False,0.17,False,False,138.59,140.18,377,2.0,0.38
CMG,39.6951,0,False,False,0.197439,False,2025-09-22 15:45,True,False,False,False,0,1.45,0.05,-12.96,False,0.33,True,0.83,False,False,39.3,40.48,506,2.0,0.99
MO,63.66,0,True,False,0.166874,False,2025-09-22 15:45,True,False,False,True,1,0.24,-2.82,10.72,False,0.33,False,0.17,False,False,63.33,64.33,599,2.0,0.52
DE,466.48,0,False,False,1.559883,False,2025-09-22 15:45,True,False,False,False,0,0.27,-0.56,2.77,False,0.0,False,0.17,False,False,463.36,472.72,64,2.0,0.67
CAT,465.49,0,True,True,1.762786,False,2025-09-22 15:45,True,False,True,True,2,0.32,3.29,10.57,True,1.0,True,0.5,False,False,461.96,472.54,56,2.0,0.76
BA,212.19,0,True,False,0.824449,False,2025-09-22 15:45,True,False,False,True,1,0.46,-1.14,11.1,False,0.33,False,0.0,False,False,210.54,215.49,121,2.0,0.78
GE,297.885,0,True,True,0.975629,False,2025-09-22 15:45,True,False,True,True,2,0.39,2.9,17.4,True,1.0,True,0.5,False,False,295.93,301.79,102,2.0,0.66
LMT,477.71,0,True,True,1.435572,False,2025-09-22 15:45,True,False,False,False,0,0.35,0.97,-1.48,True,1.0,True,0.67,False,False,474.84,483.45,69,2.0,0.6
RTX,158.71,0,True,True,0.463799,False,2025-09-22 15:45,True,False,False,True,1,0.21,0.25,11.49,True,1.0,True,1.0,False,False,157.78,160.57,215,2.0,0.58
NOC,575.51,0,True,False,1.507651,False,2025-09-22 15:45,True,False,False,True,1,0.15,-0.27,9.1,False,0.67,True,0.83,False,False,572.49,581.54,66,2.0,0.52
HON,209.29,0,False,False,0.536295,False,2025-09-22 15:45,True,True,False,False,1,2.27,-0.75,0.94,False,0.0,True,0.5,False,False,208.22,211.44,186,2.0,0.51
VZ,43.2051,0,True,False,0.101538,False,2025-09-22 15:45,True,True,False,True,2,1.61,-0.59,3.45,False,0.33,False,0.0,False,False,43.0,43.61,984,2.0,0.47
T,28.815,0,True,False,0.081819,False,2025-09-22 15:45,True,True,False,True,2,1.91,-1.09,9.33,False,0.33,False,0.0,False,False,28.65,29.14,1222,2.0,0.57
CSCO,67.43,0,True,False,0.190974,False,2025-09-22 15:45,True,True,False,True,2,2.42,1.91,7.66,False,0.33,False,0.33,False,False,67.05,68.19,523,2.0,0.57
